n
"(:Marca {id: brand_1,nombre: Toyota})"
"(:Marca {id: brand_2,nombre: Bugatti})"
"(:Marca {id: brand_3,nombre: Ford})"
"(:Marca {id: brand_4,nombre: Tesla})"
"(:Marca {id: brand_5,nombre: BMW})"
"(:Marca {id: brand_6,nombre: Audi})"
"(:Marca {id: brand_7,nombre: Chevrolet})"
"(:Marca {id: brand_8,nombre: Honda})"
"(:Marca {id: brand_9,nombre: Mercedes-Benz})"
"(:Marca {id: brand_10,nombre: Hyundai})"
"(:Marca {id: brand_11,nombre: Kia})"
"(:Marca {id: brand_12,nombre: Mazda})"
"(:Marca {id: brand_13,nombre: Volkswagen})"
"(:Marca {id: brand_14,nombre: Nissan})"
"(:Marca {id: brand_15,nombre: Lamborghini})"
"(:Marca {id: brand_16,nombre: Ferrari})"
"(:Marca {id: brand_17,nombre: Porsche})"
"(:Marca {id: brand_18,nombre: Jeep})"
"(:Marca {id: brand_19,nombre: Subaru})"
"(:Marca {id: brand_20,nombre: Peugeot})"
"(:Marca {id: brand_21,nombre: Renault})"
"(:Marca {id: brand_22,nombre: Mitsubishi})"
"(:Marca {id: brand_23,nombre: Volvo})"
"(:Marca {id: brand_24,nombre: Jaguar})"
"(:Marca {id: brand_25,nombre: Land Rover})"
"(:Tipo {categoria: Sedán,id: type_1})"
"(:Tipo {categoria: SUV,id: type_2})"
"(:Tipo {categoria: Hatchback,id: type_3})"
"(:Tipo {categoria: Coupé,id: type_4})"
"(:Tipo {categoria: Convertible,id: type_5})"
"(:Tipo {categoria: Pickup,id: type_6})"
"(:Tipo {categoria: Van,id: type_7})"
"(:Tipo {categoria: Wagon,id: type_8})"
"(:Tipo {categoria: Crossover,id: type_9})"
"(:Tipo {categoria: Minivan,id: type_10})"
"(:Tipo {categoria: Off-Road,id: type_11})"
"(:Tipo {categoria: Deportivo,id: type_12})"
"(:Tipo {categoria: Lujo,id: type_13})"
"(:Tipo {categoria: Compacto,id: type_14})"
"(:Tipo {categoria: Subcompacto,id: type_15})"
"(:Combustible {tipo: Gasolina,id: fuel_1})"
"(:Combustible {tipo: Diésel,id: fuel_2})"
"(:Combustible {tipo: Eléctrico,id: fuel_3})"
"(:Combustible {tipo: Híbrido,id: fuel_4})"
"(:Combustible {tipo: Gas Natural,id: fuel_5})"
"(:Transmision {tipo: Automática,id: trans_1})"
"(:Transmision {tipo: Manual,id: trans_2})"
"(:Concesionario {direccion: Calle 123, Ciudad A,id: dealer_1,nombre: Concesionario Central})"
"(:Auto {precio: 34395.0,id: car_27,modelo: X5,año: 2024})"
"(:Auto {precio: 55039.0,id: car_28,modelo: X5,año: 2023})"
"(:Auto {precio: 26580.0,id: car_29,modelo: 3 Series,año: 2023})"
"(:Auto {precio: 88197.0,id: car_30,modelo: 3 Series,año: 2022})"
"(:Auto {precio: 41225.0,id: car_31,modelo: 5 Series,año: 2024})"
"(:Auto {precio: 46619.0,id: car_32,modelo: 5 Series,año: 2024})"
"(:Auto {precio: 55939.0,id: car_33,modelo: A4,año: 2022})"
"(:Auto {precio: 90056.0,id: car_34,modelo: A4,año: 2024})"
"(:Auto {precio: 76455.0,id: car_35,modelo: Q5,año: 2021})"
"(:Auto {precio: 80025.0,id: car_36,modelo: Q5,año: 2022})"
"(:Auto {precio: 81579.0,id: car_37,modelo: A6,año: 2022})"
"(:Auto {precio: 61686.0,id: car_38,modelo: A6,año: 2021})"
"(:Auto {precio: 79897.0,id: car_39,modelo: Malibu,año: 2021})"
"(:Auto {precio: 88374.0,id: car_40,modelo: Malibu,año: 2024})"
"(:Auto {precio: 69545.0,id: car_41,modelo: Silverado,año: 2023})"
"(:Auto {precio: 81987.0,id: car_42,modelo: Silverado,año: 2024})"
"(:Auto {precio: 44172.0,id: car_43,modelo: Tahoe,año: 2023})"
"(:Auto {precio: 85057.0,id: car_44,modelo: Tahoe,año: 2021})"
"(:Auto {precio: 55236.0,id: car_45,modelo: Civic,año: 2024})"
"(:Auto {precio: 90043.0,id: car_46,modelo: Civic,año: 2021})"
"(:Auto {precio: 39382.0,id: car_47,modelo: Accord,año: 2022})"
"(:Auto {precio: 25600.0,id: car_48,modelo: Accord,año: 2021})"
"(:Auto {precio: 59266.0,id: car_49,modelo: CR-V,año: 2023})"
"(:Auto {precio: 99365.0,id: car_50,modelo: CR-V,año: 2022})"
"(:Auto {precio: 24543.0,id: car_51,modelo: C-Class,año: 2021})"
"(:Auto {precio: 77395.0,id: car_52,modelo: C-Class,año: 2021})"
"(:Auto {precio: 93271.0,id: car_53,modelo: GLC,año: 2021})"
"(:Auto {precio: 59241.0,id: car_54,modelo: GLC,año: 2024})"
"(:Auto {precio: 25143.0,id: car_55,modelo: E-Class,año: 2024})"
"(:Auto {precio: 55389.0,id: car_56,modelo: E-Class,año: 2021})"
"(:Auto {precio: 70519.0,id: car_57,modelo: Elantra,año: 2023})"
"(:Auto {precio: 84305.0,id: car_58,modelo: Elantra,año: 2024})"
"(:Auto {precio: 97025.0,id: car_59,modelo: Tucson,año: 2023})"
"(:Auto {precio: 27539.0,id: car_60,modelo: Tucson,año: 2022})"
"(:Auto {precio: 56250.0,id: car_61,modelo: Santa Fe,año: 2021})"
"(:Auto {precio: 85415.0,id: car_62,modelo: Santa Fe,año: 2021})"
"(:Auto {precio: 61039.0,id: car_63,modelo: Soul,año: 2023})"
"(:Auto {precio: 53474.0,id: car_64,modelo: Soul,año: 2024})"
"(:Auto {precio: 37084.0,id: car_65,modelo: Sportage,año: 2021})"
"(:Auto {precio: 97642.0,id: car_66,modelo: Sportage,año: 2022})"
"(:Auto {precio: 79336.0,id: car_67,modelo: Forte,año: 2022})"
"(:Auto {precio: 61699.0,id: car_68,modelo: Forte,año: 2024})"
"(:Auto {precio: 62639.0,id: car_69,modelo: CX-5,año: 2021})"
"(:Auto {precio: 46493.0,id: car_70,modelo: CX-5,año: 2022})"
"(:Auto {precio: 43150.0,id: car_71,modelo: Mazda3,año: 2021})"
"(:Auto {precio: 50930.0,id: car_72,modelo: Mazda3,año: 2021})"
"(:Auto {precio: 80741.0,id: car_73,modelo: Mazda6,año: 2022})"
"(:Auto {precio: 93210.0,id: car_74,modelo: Mazda6,año: 2022})"
"(:Auto {precio: 24052.0,id: car_75,modelo: Golf,año: 2022})"
"(:Auto {precio: 77215.0,id: car_76,modelo: Golf,año: 2024})"
"(:Auto {precio: 68749.0,id: car_77,modelo: Passat,año: 2024})"
"(:Auto {precio: 70025.0,id: car_78,modelo: Passat,año: 2023})"
"(:Auto {precio: 60659.0,id: car_79,modelo: Tiguan,año: 2023})"
"(:Auto {precio: 49992.0,id: car_80,modelo: Tiguan,año: 2024})"
"(:Auto {precio: 65266.0,id: car_81,modelo: Altima,año: 2023})"
"(:Auto {precio: 79147.0,id: car_82,modelo: Altima,año: 2021})"
"(:Auto {precio: 83703.0,id: car_83,modelo: Rogue,año: 2023})"
"(:Auto {precio: 36856.0,id: car_84,modelo: Rogue,año: 2022})"
"(:Auto {precio: 97606.0,id: car_85,modelo: Leaf,año: 2021})"
"(:Auto {precio: 79378.0,id: car_86,modelo: Leaf,año: 2024})"
"(:Auto {precio: 2136079.0,id: car_87,modelo: Aventador,año: 2021})"
"(:Auto {precio: 428690.0,id: car_88,modelo: Aventador,año: 2021})"
"(:Auto {precio: 2925027.0,id: car_89,modelo: Huracán,año: 2024})"
"(:Auto {precio: 2964758.0,id: car_90,modelo: Huracán,año: 2021})"
"(:Auto {precio: 1152969.0,id: car_91,modelo: Roma,año: 2024})"
"(:Auto {precio: 2146126.0,id: car_92,modelo: Roma,año: 2022})"
"(:Auto {precio: 740753.0,id: car_93,modelo: F8,año: 2021})"
"(:Auto {precio: 689768.0,id: car_94,modelo: F8,año: 2021})"
"(:Auto {precio: 74354.0,id: car_95,modelo: 911,año: 2021})"
"(:Auto {precio: 89614.0,id: car_96,modelo: 911,año: 2021})"
"(:Auto {precio: 44431.0,id: car_97,modelo: Cayenne,año: 2022})"
"(:Auto {precio: 82368.0,id: car_98,modelo: Cayenne,año: 2021})"
"(:Auto {precio: 89083.0,id: car_99,modelo: Wrangler,año: 2021})"
"(:Auto {precio: 52878.0,id: car_100,modelo: Wrangler,año: 2022})"
"(:Auto {precio: 89125.0,id: car_101,modelo: Grand Cherokee,año: 2023})"
"(:Auto {precio: 95642.0,id: car_102,modelo: Grand Cherokee,año: 2024})"
"(:Auto {precio: 95683.0,id: car_103,modelo: Outback,año: 2024})"
"(:Auto {precio: 28301.0,id: car_104,modelo: Outback,año: 2023})"
"(:Auto {precio: 41249.0,id: car_105,modelo: Forester,año: 2021})"
"(:Auto {precio: 53099.0,id: car_106,modelo: Forester,año: 2024})"
"(:Auto {precio: 90772.0,id: car_107,modelo: 208,año: 2024})"
"(:Auto {precio: 27942.0,id: car_108,modelo: 208,año: 2023})"
"(:Auto {precio: 42594.0,id: car_109,modelo: 3008,año: 2022})"
"(:Auto {precio: 70013.0,id: car_110,modelo: 3008,año: 2022})"
"(:Auto {precio: 89465.0,id: car_111,modelo: Clio,año: 2022})"
"(:Auto {precio: 92654.0,id: car_112,modelo: Clio,año: 2024})"
"(:Auto {precio: 58506.0,id: car_113,modelo: Duster,año: 2021})"
"(:Auto {precio: 38069.0,id: car_114,modelo: Duster,año: 2023})"
"(:Auto {precio: 39728.0,id: car_115,modelo: Outlander,año: 2023})"
"(:Auto {precio: 88427.0,id: car_116,modelo: Outlander,año: 2023})"
"(:Auto {precio: 44791.0,id: car_117,modelo: Mirage,año: 2023})"
"(:Auto {precio: 53705.0,id: car_118,modelo: Mirage,año: 2021})"
"(:Auto {precio: 35433.0,id: car_119,modelo: XC60,año: 2022})"
"(:Auto {precio: 56700.0,id: car_120,modelo: XC60,año: 2024})"
"(:Auto {precio: 31796.0,id: car_121,modelo: S60,año: 2023})"
"(:Auto {precio: 53340.0,id: car_122,modelo: S60,año: 2022})"
"(:Auto {precio: 51749.0,id: car_123,modelo: F-Pace,año: 2023})"
"(:Auto {precio: 41334.0,id: car_124,modelo: F-Pace,año: 2022})"
"(:Auto {precio: 34893.0,id: car_125,modelo: XE,año: 2023})"
"(:Auto {precio: 65069.0,id: car_126,modelo: XE,año: 2023})"
"(:Auto {precio: 22003.0,id: car_127,modelo: Range Rover,año: 2024})"
"(:Auto {precio: 55433.0,id: car_128,modelo: Range Rover,año: 2024})"
"(:Auto {precio: 46161.0,id: car_129,modelo: Defender,año: 2023})"
"(:Auto {precio: 22617.0,id: car_130,modelo: Defender,año: 2023})"
"(:Usuario {presupuesto_max: 30000,id: user_1})"
"(:Marca {id: brand_1,nombre: Toyota})"
"(:Auto {precio: 25000,id: car_1,modelo: Corolla})"
(:Marca {id: brand_1})
"(:Usuario {presupuesto_max: 25000,id: user_1})"
(:Marca {nombre: Toyota})
"(:Auto {precio: 23000,modelo: Corolla})"
(:Marca {nombre: Toyota})
"(:Usuario {presupuesto_max: 25000,id: user_1})"
(:Marca {nombre: Toyota})
"(:Auto {precio: 23000,modelo: Corolla})"
(:Marca {nombre: Toyota})
